name,full_name,team,position,price,total_points,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,xG,xA,xGI,xGC,form,points_per_game,selected_by_percent,status,chance_of_playing,news
Rusyn,Nazarii Rusyn,Sunderland,FWD,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,u,0.0,has joined Arka on loan for the rest of the season.
Xhaka,Granit Xhaka,Sunderland,MID,5.2,88,1872,1,5,7,22,0,0,0,4,0,0,5,414,515.8,413.9,77.0,100.6,0.59,2.15,2.74,30.64,4.0,4.2,7.0,a,,
Roefs,Robin Roefs,Sunderland,GK,4.9,95,1890,0,0,7,22,0,1,0,2,0,73,9,407,593.2,40.0,0.0,63.2,0.0,0.04,0.04,31.2,4.4,4.5,12.7,a,,
Masuaku,Arthur Masuaku,Sunderland,DEF,3.9,1,125,0,0,0,2,0,0,0,1,0,0,0,4,21.8,20.1,7.0,4.9,0.07,0.08,0.15,2.09,0.0,0.3,0.5,i,0.0,Ankle injury - Expected back 22 Feb
Alderete,Omar Alderete,Sunderland,DEF,4.1,77,1469,1,1,6,17,0,0,0,3,0,0,5,241,434.2,61.6,192.0,69.1,1.16,0.72,1.87,24.6,4.0,4.5,6.4,a,100.0,
Mukiele,Nordi Mukiele,Sunderland,DEF,4.4,92,1710,1,2,6,20,1,0,0,3,0,0,8,308,439.4,168.3,105.0,71.3,0.6,1.39,1.99,29.64,5.6,4.8,10.3,a,,
Geertruida,Lutsharel Geertruida,Sunderland,DEF,4.5,32,970,0,0,2,14,0,0,0,0,0,0,0,145,156.2,63.6,34.0,25.4,0.37,0.42,0.79,20.56,3.4,1.9,0.0,a,,
Brobbey,Brian Brobbey,Sunderland,FWD,5.5,40,698,3,1,3,8,0,0,0,1,0,0,4,140,144.4,46.3,173.0,35.5,1.7,0.15,1.85,14.11,3.2,2.5,0.4,a,100.0,
Traoré,Bertrand Traoré,Sunderland,MID,5.5,28,607,1,1,3,9,0,0,0,1,0,0,1,114,115.6,108.1,135.0,35.9,0.48,0.25,0.73,8.99,0.0,2.8,0.0,i,0.0,Knee injury - Expected back 11 Feb
Jenson Jones,Jenson Jones,Sunderland,DEF,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,,
Tutierov,Tymur Tutierov,Sunderland,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,0.0,has joined Exeter City on loan for the rest of the season.
Vicario,Guglielmo Vicario,Spurs,GK,4.8,75,1890,0,0,7,27,0,0,0,1,0,55,6,333,474.0,0.1,0.0,47.5,0.0,0.02,0.02,26.57,3.2,3.6,6.8,a,,
Austin,Brandon Austin,Spurs,GK,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,a,,
Kinsky,Antonín Kinský,Spurs,GK,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,a,,
Pedro Porro,Pedro Porro Sauceda,Spurs,DEF,5.2,74,1685,0,2,7,21,0,0,0,5,0,0,4,314,363.2,423.6,71.0,86.0,0.35,2.31,2.66,22.06,4.2,3.5,12.6,a,,
Romero,Cristian Romero,Spurs,DEF,5.0,73,1457,2,1,5,21,0,0,0,7,1,0,8,265,426.2,97.0,150.0,67.3,1.07,1.05,2.12,20.38,2.8,4.3,3.8,a,100.0,
Danso,Kevin Danso,Spurs,DEF,4.2,26,581,0,0,2,10,0,0,0,4,0,0,1,106,175.2,7.1,8.0,19.1,0.03,0.16,0.19,9.3,1.4,2.2,0.1,a,,
Davies,Ben Davies,Spurs,DEF,4.3,10,118,1,0,0,2,0,0,0,0,0,0,1,30,64.8,18.2,52.0,13.5,0.49,0.07,0.56,0.78,1.8,5.0,0.1,a,100.0,
Dragusin,Radu Drăgușin,Spurs,DEF,4.5,1,5,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,4.0,0.4,0.06,0.0,0.06,0.06,0.2,1.0,0.0,a,100.0,
Spence,Djed Spence,Spurs,DEF,4.3,53,1345,0,0,7,18,0,0,0,2,0,0,1,199,168.8,121.7,77.0,36.6,0.59,0.65,1.24,19.79,3.2,2.9,1.2,a,,
Udogie,Destiny Udogie,Spurs,DEF,4.3,13,605,0,1,0,13,0,0,0,1,0,0,0,58,119.0,98.3,57.0,27.4,0.1,0.32,0.42,10.36,0.0,1.3,0.3,a,100.0,
Van de Ven,Micky van de Ven,Spurs,DEF,4.6,89,1789,3,1,7,25,0,0,0,5,0,0,10,319,417.6,72.2,172.0,66.2,2.41,0.31,2.72,24.53,4.8,4.5,28.2,a,,
Phillips,Ashley Phillips,Spurs,DEF,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,0.0,Has joined Stoke City on loan for the rest of the season.
Takai,Takai Kōta,Spurs,DEF,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,0.0,has joined Borussia Mönchengladbach on loan for the rest of the season.
Vuskovic,Luka Vušković,Spurs,DEF,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,u,0.0,has joined Hamburger SV on loan for the rest of the season.
Son,Son Heung-min,Spurs,MID,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,u,0.0,Has joined Los Angeles FC permanently.
Maddison,James Maddison,Spurs,MID,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,i,0.0,Anterior cruciate ligament - Unknown return date
Kudus,Mohammed Kudus,Spurs,MID,6.4,75,1535,2,6,7,20,0,0,0,3,0,0,7,257,333.4,413.8,302.0,104.7,1.92,2.41,4.33,22.74,1.6,3.9,11.5,i,0.0,Thigh injury - Expected back 11 Apr
Kulusevski,Dejan Kulusevski,Spurs,MID,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i,0.0,Knee injury - Unknown return date
